Material,Oxide,Poly,Si,Void
a,3.8,5.431,5.431,1
Eg6cG,6,4.185,4.185,0
alphaG,0.00E+00,0.00E+00,0.00E+00,0
betaG,1,300,300,1
EgX,6,1.166,1.166,0
alphaX,0.00E+00,4.73E-04,4.73E-04,0
betaX,1,636,636,1
EgL,6,2.4,2.4,0
alphaL,0.00E+00,0,0,0
betaL,1,1,1,1
VBO,-2.5,0,0,0
Epsi_stat,3.9,11.7,11.7,0
Epsi_inf,nan,nan,nan,0
EP_Kane,nan,0,0,0
EP_Luttinger,nan,0,0,0
Dso,nan,0.044,0.044,0
F,nan,-1,-1,0
gamma1,nan,4.26,4.26,0
gamma2,nan,0.38,0.38,0
gamma3,nan,1.56,1.56,0
Eg8c,nan,3.4,3.4,0
Eg7c,nan,3.4,3.4,0
Eg6v,nan,-12.5,-12.5,0
ac,0,-5.1,-5.1,0
av,0,0,0,0
bv,0,2.33,2.33,0
dv,0,0,0,0
c11,1,1675,1675,0
c12,1,650,650,0
c44,1,796,796,0
me,1,1.08,1.08,0
mhh,1,0.81,0.81,0
mlh,1,0.16,0.16,0
mso,1,0.23,0.23,0
muN,nan,1450,1450,0
muP,nan,370,370,0
Ni,nan,1.45E+10,1.45E+10,0
Tau,nan,1.00E-04,1.00E-04,0
